PRODUCT,QUANTITY,COST PRICE,SELLING PRICE,TOTAL COST PRICE,TOTAL SELLING PRICE,PROFIT
pure love spray can,3,11,20,33,60,27
Pure skin lotion ls,2,32.4,40,64.8,80,15.2
Pure skin lotion Ss,3,18,23,54,69,15
pure white Gold Lotion Ls,2,21,30,42,60,18
pure white Gold lotion Ss,3,11.5,18,34.5,54,19.5
Queen clear Ls,10,17,25,170,250,80
Queen clear Ss,0,8.2,12,0,0,0
Queen Eli lotion ms,10,14.4,20,144,200,56
Queen Elizabeth cream Ls,9,23.5,30,211.5,270,58.5
Queen Elizabeth cream Ms,13,14.4,18,187.2,234,46.8
Queen Elizabeth cream Ss,0,4.5,6,0,0,0
Queen Elizabeth lotion Ls,12,24.5,30,294,360,66
Queen Elizabeth lotion Ss,5,8.5,12,42.5,60,17.5
Rasta cool,14,9.6,13,134.4,182,47.6
Razac,4,25,35,100,140,40
Rexona roll on,0,6,10,0,0,0
Rexona spray,4,8.7,22,34.8,88,53.2
Rich man spray,0,50,65,0,0,0
Robert oil Ls ,2,7.6,12,15.2,24,8.8
Robert oil Ss,14,7.5,10,105,140,35
sens spray,50,8.4,10,420,500,80
sheal butter pomade,0,14,18,0,0,0
shower to shower roll on,2,5.4,10,10.8,20,9.2
sibi herbal soap,0,13,20,0,0,0
silver line cream Ls,8,12,20,96,160,64
silver line cream Ms,11,8.5,15,93.5,165,71.5
silver line cream Ss,14,6,10,84,140,56
Silver line lotion ss,0,0,8,0,0,0
silver line powder Ms,2,9,13,18,26,8
silver line powder Ss,4,4.5,8,18,32,14
sister pomade Ls,8,17.6,23,140.8,184,43.2
sister pomade Ms,11,9.1,13,100.1,143,42.9
sister pomade Ss,16,5.62,8,89.92,128,38.08
sister powder ms,5,3.5,5,17.5,25,7.5
sister powder ss,6,1.7,3,10.2,18,7.8
Sivo clair lot ss,3,10,15,30,45,15
sivoderm cream ,15,10.25,13,153.75,195,41.25
sivoderm powder,1,0,7,0,7,7
six flower oil,11,8.65,15,95.15,165,69.85
six flower pd,3,9,15,27,45,18
Skin clinique powder,2,8,12,16,24,8
skin light coco butter ls,0,0,14,0,0,0
Skin light cocoa butter Ms,4,6.7,10,26.8,40,13.2
skin light cocoa butter Ss,0,0,5,0,0,0
Skin light cream Ls,2,16,20,32,40,8
Skin light Ss,0,8,12,0,0,0
skin magnet,0,13,20,0,0,0
Skin net lotion,0,7.37,10,0,0,0
Skin Rich,2,35,0,70,0,-70
skin soft powder,1,5.5,10,5.5,10,4.5
soft hair relaxer Ls,0,0,28,0,0,0
Soft hair relaxer Ss,1,0,10,0,10,10
solder  ls,2,0,10,0,20,20
solder powder,4,2.25,4,9,16,7
sporting wave,0,0,15,0,0,0
stay young ls,1,10.4,15,10.4,15,4.6
stay young ss,3,4,7,12,21,9
stay young xl,2,22,30,44,60,16
stop,0,9.5,15,0,0,0
style up  ls,30,11.5,20,345,600,255
Style up SS,27,7.61,12,205.47,324,118.53
Subaru hair dye,48,3,5,144,240,96
Sudan bintel,5,6,10,30,50,20
sunshine gel,7,4,8,28,56,28
sure men roll  on,0,6,12,0,0,0
sure spray,3,25,30,75,90,15
surfaz,6,21.5,27,129,162,33
sweet heart roll on,12,9,12,108,144,36
Target spray,1,12.45,25,12.45,25,12.55
TCB Relaxer,2,0,25,0,50,50
Tender White Ls,2,16,19,32,38,6
Tender White Ss,2,11.7,15,23.4,30,6.6
Tendrina cream Ls,2,0,12,0,24,24
Tendrina lotion Ls,0,7.8,15,0,0,0
Tiato oil,7,6.75,10,47.25,70,22.75
Time roll on ,6,3.6,6,21.6,36,14.4
titanic spray,0,0,10,0,0,0
Toilet ball ls,4,6,15,24,60,36
Toilet ball ss,0,3,5,0,0,0
Tony montana,3,0,18,0,54,54
Top country powder Ls,0,0,15,0,0,0
Top country powder ss,1,16,20,16,20,4
top country roll on,4,10,13,40,52,12
Top gel,4,0,10,0,40,40
touch sp,18,7.5,10,135,180,45
UB Relaxer flat,1,0,15,0,15,15
UB Relaxer Ls,2,18.53,28,37.06,56,18.94
UB Relaxer Ss,15,7.9,10,118.5,150,31.5
V22 ls,1,50,0,50,0,-50
V22 ss,1,28,0,28,0,-28
vaseline blue ls,0,12.8,20,0,0,0
Vaseline blue ss,3,8,10,24,30,6
Vaseline lotion ,1,28,35,28,35,7
vevo lotion ls,5,22.5,30,112.5,150,37.5
Vevo lotion ss,2,15.2,20,30.4,40,9.6
VIP bath ,4,16.7,20,66.8,80,13.2
VIP spray,29,7.1,10,205.9,290,84.1
vip spray ls,0,0,10,0,0,0
Vital hair cream Ls,2,17.83,25,35.66,50,14.34
vital hair cream Ss,8,10.58,15,84.64,120,35.36
vitamine,2,11,8,22,16,-6
Viva white Ls,0,0,8,0,0,0
Viva white Ss,6,13.98,18,83.88,108,24.12
white secret facial,3,6.5,10,19.5,30,10.5
White secret Ls,5,32.6,40,163,200,37
white secret Ms,6,15.74,19,94.44,114,19.56
white secret Ss,9,16.32,20,146.88,180,33.12
white secrete bath,7,25,30,175,210,35
white spa bath,1,0,20,0,20,20
white spa pd,0,7,12,0,0,0
wind air fresher,2,6,10,12,20,8
Xta spray,4,5,8,20,32,12
Yuri spray,0,0,8,0,0,0
Zoe lotion ss,3,15.2,20,45.6,60,14.4
